平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,类型可选值列表,阶段可选值列表,平台
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
单元测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段",主干(#0)
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏华语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择华语歌单点击播放
3.添加收藏华语歌单","1. 成功进入网易云首页
2. 选择分类，成功播放华语歌单音乐
3.成功添加收藏华语歌单",添加收藏华语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏流行歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择流行歌单点击播放
3.添加收藏流行歌单","1. 成功进入网易云首页
2. 选择流行歌单，成功播放音乐
3.成功添加收藏流行歌单",添加收藏流行歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏民谣歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择民谣歌单点击播放
3.添加收藏民谣歌单","1. 成功进入网易云首页
2. 选择分类，成功播放民谣歌单音乐
3.成功添加收藏民谣歌单",添加收藏民谣歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏粤语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择粤语歌单点击播放
3.添加收藏粤语歌单","1. 成功进入网易云首页
2. 选择粤语歌单，成功播放音乐
3.成功添加收藏粤语歌单",添加收藏粤语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏欧美歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择欧美歌单点击播放
3.添加收藏欧美歌单","1. 成功进入网易云首页
2. 选择分类，成功播放欧美歌单音乐
3.成功添加收藏欧美歌单",添加收藏欧美歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏日语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择日语歌单点击播放
3.添加收藏日语歌单","1. 成功进入网易云首页
2. 选择日语歌单，成功播放音乐
3.成功添加收藏日语歌单",添加收藏日语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏韩语歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择韩语歌单点击播放
3.添加收藏韩语歌单","1. 成功进入网易云首页
2. 选择分类，成功播放韩语歌单音乐
3.成功添加收藏韩语歌单",添加收藏韩语歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏轻音乐歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择轻音乐歌单点击播放
3.添加收藏轻音乐歌单","1. 成功进入网易云首页
2. 选择轻音乐歌单，成功播放音乐
3.成功添加收藏轻音乐歌单",添加收藏轻音乐歌单,①,功能测试,功能测试阶段,,,
,/主干/发现音乐(#1),网易云系统_发现音乐_选择分类，添加收藏说唱歌单,用户存在，且在有网络的情况下,"1. 用户登录网易云系统
2.下拉列表，选择说唱歌单点击播放
3.添加收藏说唱歌单","1. 成功进入网易云首页
2. 选择分类，成功播放说唱歌单音乐
3.成功添加收藏说唱歌单",添加收藏说唱歌单,①,功能测试,功能测试阶段,,,
