平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台
,/主干/账户信息/我的主页/我创建的电台(#35),网易云官网-账户信息-我的主页-创建一个英文音乐电台，进行推送,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
3点击创建英文音乐电台，并添加歌曲进入电台，进行推送","1.  进入网易云官网
2. 进入‘我的主页’主页
3.创建关于英文音乐电台成功，并推送成功",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/听歌排行(#36),网易云官网-账户信息-我的主页-查看最近一年听歌排行,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
4查看最近一年听歌排行","1.  进入网易云官网
2. 进入‘我的主页’主页
4.成功查看最近一周听歌排行",,①,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),网易云官网-账户信息-我的主页-创建‘超然学习’歌单，进行推送,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
5.创建‘超然学习’歌单，并添加相关歌曲进入歌单，进行推送","1.  进入网易云官网
2. 进入‘我的主页’主页
5.创建关于‘超然学习’歌单，并推送成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),网易云官网-账户信息-我的主页-搜索‘英文的天花板’歌单，并收藏歌单,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的主页’
6.搜索‘英文歌的天花板’歌单，并收藏歌单","1.  进入网易云官网
2. 进入‘我的主页’主页
6.成功搜索‘英文歌的天花板’歌单，并成功收藏歌单",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息(#29),网易云官网-账户信息-我的消息-查看以往信息,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
7.查看以往已读信息","1.  进入网易云官网
2. 进入‘我的主页’主页
7.查看以往已读信息成功",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/私信(#40),网易云官网-账户信息-我的消息-回复其他用户私信,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
9.点击私信，编辑内容，并发送内容给其他用户","1.  进入网易云官网
2. 进入‘我的主页’主页
9.回复私信成功",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/我的消息/评论(#41),网易云官网-账户信息-我的消息-评论其他用户歌曲评论,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘我的消息’
10.点击歌曲评论，在其他用户评论下评论，得到回复","1.  进入网易云官网
2. 进入‘我的主页’主页
10.评论其他用户的评论成功，并成功得到回复",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/vip会员(#31),网易云官网-账户信息-我的主页-买会员赠送好友,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘vip会员’
11.点击‘买会员送好友’，选择好友进行赠送","1.  进入网易云官网
2. 进入‘vip会员’主页
11.买到了会员，并成功赠送给了好友",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/基本设置(#45),网易云官网-账户信息-个人设置-基本设置-更改呢称,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘个人设置’
13.点击呢称，并修改呢称","1.  进入网易云官网
2. 进入‘个人设置’主页
13.修改呢称成功。",,②,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/绑定设置(#46),网易云官网-账户信息-个人设置-绑定设置-绑定新浪微博,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘个人设置’
14.点击新浪微博绑定，进行相关操作","1.  进入网易云官网
2. 进入‘个人设置’主页
14.绑定新浪微博成功。",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/个人设置/隐私设置(#47),网易云官网-账户信息-个人设置-隐私设置-私信改为只接受我关注的人,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘个人设置’
15.点击隐私设置，并在私信设置中设置只接受我关注的人的私信","1.  进入网易云官网
2. 进入‘隐私设置’主页
15.设置私信只接受我关注的人成功。",,③,功能性测试,功能测试阶段,,,,
,/主干/账户信息/实名认证/真实姓名(#48),网易云官网-账户信息-实名认证-填写不真实姓名，审核不通过,用户存在，且有网络,"1. 用户登录网易云
2. 点击头像下拉框的‘实名认证’
16.在实名认证中填写一个不正确的姓名，进行审核","1.  进入网易云官网
2. 进入‘实名认证’主页
16.实名认证姓名审核不通过",,②,功能性测试,功能测试阶段,,,,
