平台,所属模块,用例标题,前置条件,步骤,预期输出,关键词,优先级,用例类型,适用阶段,,类型可选值列表,阶段可选值列表,平台,审核人
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
单元测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段",主干(#0),
,/主干/发现音乐(#1),页面正常显示,登录网易云账户,"1. 点击我的音乐
2. 
3.",页面正常显示,,,,,,,,,冯权博
,/主干/我的音乐/我的歌手(#16),正确显示关注歌手,登录网易云账户,"1. 点击我的歌手
2. 
3.",正确显示关注歌手,,,,,,,,,冯权博
,,点击歌手头像，进入歌手详情页面,登录网易云账户,"1. 点击我的歌手
2. 点击歌手头像
3.",正确显示相关歌手mv，歌曲,,,,,,,,,冯权博
,,点击歌手名字，进入歌手详情页面,登录网易云账户,"1. 点击我的歌手
2. 点击歌手名字
3.",正确显示相关歌手mv，歌曲,,,,,,,,,冯权博
,/主干/我的音乐/我的电台(#17),正确显示创建，订阅的电台,登录网易云账户,"1. 点击我的电台
2. 
3.",正确显示创建，订阅的电台,,,,,,,,,冯权博
,,点击电台头像，进入电台详情页面,登录网易云账户,"1. 点击电台头像
2. 
3.",正确显示相关电台歌曲,,,,,,,,,冯权博
,,点击电台名字，进入电台详情页面,登录网易云账户,"1.点击电台名字
2. 
3.",正确显示相关电台歌曲,,,,,,,,,冯权博
,/主干/我的音乐/我创建的歌单(#18),正确显示创健的歌单,登录网易云账户,"1. 点击创建歌单
2. 
3.","1. 显示登录账户的创建的歌单
2. 
3.",,,,,,,,,冯权博
,,点击下拉图标，弹出创建的歌单,登录网易云账户,"1. 点击创建歌单
2. 点击下拉图标
3.","1. 显示登录账户的创建的歌单
2. 
3.",,,,,,,,,冯权博
,,点击随意一个歌单，显示相关歌曲,登录网易云账户,"1. 点击创建歌单
2. 点击随意一个歌单
3.",1.显示相关歌曲,,,,,,,,,冯权博
,,点击编辑图标，能编辑歌单信息,登录网易云账户,"1.点击编辑图标
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑2位中文歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑20位中文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑19位中文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑21位中文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,,,冯权博
,,编辑40位英文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑39位英文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑41位英文字歌单名，点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,,,冯权博
,,编辑歌单时，随意选择2个标签点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑歌单时，随意选择3个标签点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑歌单时，随意选择4个标签点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,,,冯权博
,,编辑歌单时，介绍栏填写小于1000字点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑歌单时，介绍栏填写等于1000字点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存成功
2. 
3.",,,,,,,,,冯权博
,,编辑歌单时，介绍栏填写大于1000字点击保存,登录网易云账户,"1. 点击编辑按钮
2. 
3.","1. 保存失败
2. 
3.",,,,,,,,,冯权博
,,点击删除歌单按钮，歌单正确删除,登录网易云账户,"1. 点击删除按钮
2. 
3.","1. 删除成功
2. 
3.",,,,,,,,,冯权博
,,点击新建按钮，输入2位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,,,冯权博
,,点击新建按钮，输入20位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,,,冯权博
,,点击新建按钮，输入21位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建失败
2. 
3.",,,,,,,,,冯权博
,,点击新建按钮，输入19位中文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,,,冯权博
,,点击新建按钮，输入40位英文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,,,冯权博
,,点击新建按钮，输入41位英文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建失败
2. 
3.",,,,,,,,,冯权博
,,点击新建按钮，输入39位英文，点击新建,登录网易云账户,"1. 点击新建
2. 
3.","1. 新建成功
2. 
3.",,,,,,,,,冯权博
,/主干/我的音乐/收藏的歌单(#19),正确显示收藏的歌单,登录网易云账户,"1. 点击收藏歌单
2. 
3.",正确显示收藏的歌单,,,,,,,,,冯权博
,,点击下拉图标，弹出相关收藏歌单,登录网易云账户,"1. 点击下拉图标
2. 
3.","1. 弹出相关收藏歌单
2. 
3.",,,,,,,,,冯权博
,,点击随意一个收藏歌单，显示相关歌曲,登录网易云账户,"1. 点击歌单
2. 
3.",显示相关歌曲,,,,,,,,,冯权博
,,点击删除按钮，删除正确的歌单,登录网易云账户,"1. 点击删除
2. 
3.","1. 删除成功
2. 
3.",,,,,,,,,冯权博
,/主干/关注(#3),页面正确显示关注音乐人的动态,登录网易云账户,"1. 点击关注
2. 
3.",页面正确显示关注音乐人的动态,,,,,,,,,冯权博
,,点击头像，进入相关用户的详情页面,登录网易云账户,"1. 点击关注
2. 点击头像
3.",进入相关用户的详情页面,,,,,,,,,冯权博
,,点击用户名，进入相关用户的详情页面,登录网易云账户,"1. 点击关注
2. 点击用户名
3.",进入相关用户的详情页面,,,,,,,,,冯权博
,,点击音乐封面，播放音乐,登录网易云账户,"1. 点击关注
2. 点击音乐封面
3.","1. 播放音乐
2. 
3.",,,,,,,,,冯权博
,,点击音乐名字，进入相关音乐评论区，和歌词显示,登录网易云账户,"1. 点击关注
2. 点击音乐名
3.",进入相关音乐评论区，和歌词显示,,,,,,,,,冯权博
,,点击点赞按钮，点赞数加一,登录网易云账户,"1. 点击点赞按钮
2. 
3.",点赞数加一,,,,,,,,,冯权博
,,点击转发按钮，输入140字以内评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,,,冯权博
,,点击转发按钮，输入140字评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,,,冯权博
,,点击转发按钮，输入139字评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,,,冯权博
,,点击转发按钮，输入141字评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发失败
2. 
3.",,,,,,,,,冯权博
,,点击转发按钮，输入140字母以内评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,,,冯权博
,,点击转发按钮，输入140字母，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,,,冯权博
,,点击转发按钮，输入139字母评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发成功
2. 
3.",,,,,,,,,冯权博
,,点击转发按钮，输入141字母评论，点击转发,登录网易云账户,"1. 点击转发按钮
2. 
3.","1. 转发失败
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入140字以内评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入140字评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入141字评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论失败
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入139字评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入139字母评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入140字母评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入141字母评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论失败
2. 
3.",,,,,,,,,冯权博
,,点击评论按钮，输入140字母以内评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,,,冯权博
,/主干/关注/发动态(#20),输入140字以内评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,,输入140字评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,,输入141字评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享失败
2. 
3.",,,,,,,,,冯权博
,,输入139字评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,,输入139字母评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,,输入140字母评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,,输入141字母评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成失败
2. 
3.",,,,,,,,,冯权博
,,输入140字母以内评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,,上传图片，分享成功,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,,能给动态配上音乐,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,,,冯权博
,/主干/关注/发布视频(#21),点击发布视频，跳转至达人创作者中心,登录网易云账户,"1. 点击发布视频
2. 
3.",跳转至达人创作者中心,,,,,,,,,冯权博
,/主干/商城(#4),点击商城，跳转至网易云音乐商城,登录网易云账户,"1. 点击商城
2. 
3.",跳转至网易云音乐商城,,,,,,,,,冯权博
